id,name
0,Alfa Romeo
1,Audi
2,BMW
3,Brilliance
4,Cadillac
5,Changan
6,Chery
7,Chevrolet
8,Chrysler
9,Citroen
10,Daewoo
11,Daihatsu
12,Dodge
13,FIAT
14,Ford
15,Geely
16,Great Wall
17,Haval
18,Honda
19,Hummer
20,Hyundai
21,Infiniti
22,Iran Khodro
23,Jaguar
24,Jeep
25,Kia
26,LIFAN
27,Land Rover
28,Lexus
29,Lincoln
30,MINI
31,Mazda
32,Mercedes-Benz
33,Mitsubishi
34,Nissan
35,None
36,Opel
37,Peugeot
38,Porsche
39,Renault
40,Rover
41,SEAT
42,Saab
43,Skoda
44,SsangYong
45,Subaru
46,Suzuki
47,Toyota
48,Volkswagen
49,Volvo
50,Vortex
51,ZOTYE
52,ВАЗ (LADA)
53,ГАЗ
54,ЗАЗ
55,УАЗ
