id,city,price,body_type,brand_id,power,color,condition,drive,engine_type,mileage,transmission,wheel,year
0,Москва,475000,Купе,25,150,Красный,Не битый,Передний,Бензин,125000,Автомат,Левый,2011
1,Москва,880000,Внедорожник,34,140,Серый,Не битый,Полный,Бензин,124600,Механика,Левый,2008
2,Краснодар,478000,Седан,1,130,Красный,Не битый,Передний,Бензин,230000,Вариатор,Левый,2007
3,Москва,870000,Внедорожник,34,140,Серебряный,Не битый,Полный,Бензин,116000,Механика,Левый,2009
4,Краснодар,415000,Седан,48,150,Серый,Не битый,Передний,Бензин,289940,Автомат,Левый,2004
5,Бахчисарай,465000,Седан,31,120,Серый,Не битый,Передний,Бензин,308000,Механика,Левый,2008
6,Верхняя Пышма,2150000,Внедорожник,47,173,Белый,Не битый,Полный,Дизель,229000,Автомат,Левый,2012
7,Москва,1305000,Внедорожник,4,409,Чёрный,Не битый,Полный,Бензин,215000,Автомат,Левый,2013
8,Москва,450000,Седан,25,123,Чёрный,Не битый,Передний,Бензин,138951,Автомат,Левый,2013
9,Бузулук,189000,Хетчбэк,52,98,Серый,Не битый,Передний,Бензин,160000,Механика,Левый,2008
10,Набережные Челны,395000,Хетчбэк,52,87,Коричневый,Не битый,Передний,Бензин,98000,Механика,Левый,2017
11,Гуково,700000,Седан,2,218,Серый,Не битый,Задний,Бензин,100000,Автомат,Левый,2008
12,Москва,595000,Хетчбэк,43,105,Зелёный,Не битый,Передний,Бензин,104000,Автомат,Левый,2011
13,Москва,470000,Лифтбек,47,77,Зелёный,Не битый,Передний,Гибрид,132000,Автомат,Левый,2006
14,Краснодар,715000,Седан,2,136,Чёрный,Не битый,Задний,Бензин,255000,Автомат,Левый,2008
15,Москва,550000,Седан,20,123,Белый,Не битый,Передний,Бензин,106537,Автомат,Левый,2014
16,Ставрополь,305000,Седан,52,98,Серый,Не битый,Передний,Бензин,185000,Механика,Левый,2013
17,Северодвинск,215000,Хетчбэк,14,80,Серый,Не битый,Передний,Бензин,213000,Механика,Левый,2008
18,Домодедово,610000,Купе,2,156,Чёрный,Не битый,Задний,Бензин,100000,Автомат,Левый,2010
19,Москва,360000,Минивэн,12,150,Белый,Не битый,Передний,Бензин,175348,Автомат,Левый,2004
20,Казань,990000,Внедорожник,18,166,Чёрный,Не битый,Полный,Бензин,208000,Автомат,Левый,2008
21,Белебей,630000,Седан,2,218,Чёрный,Не битый,Полный,Бензин,188000,Автомат,Левый,2007
22,Тамала,188000,Седан,1,165,Чёрный,Не битый,Передний,Бензин,250000,Автомат,Левый,2000
23,Москва,790000,Внедорожник,25,150,Серебряный,Не битый,Полный,Бензин,114000,Автомат,Левый,2011
24,Краснодар,1480000,Внедорожник,48,125,Серебряный,Не битый,Передний,Бензин,38000,Механика,Левый,2018
25,Москва,700000,Седан,20,123,Белый,Не битый,Передний,Бензин,43238,Автомат,Левый,2019
26,Карачев,249000,Седан,39,115,Чёрный,Не битый,Передний,Бензин,281000,Механика,Левый,2006
27,Москва,660000,Внедорожник,46,140,Чёрный,Не битый,Полный,Бензин,104000,Автомат,Левый,2008
28,Москва,445000,Седан,25,123,Белый,Не битый,Передний,Бензин,195935,Механика,Левый,2012
29,Москва,777000,Седан,48,105,Чёрный,Не битый,Передний,Бензин,152508,Механика,Левый,2015
30,Санкт-Петербург,520000,Седан,20,123,Серебряный,Не битый,Передний,Бензин,180000,Механика,Левый,2018
